! numero totale di parametri presenti nel file
23
! numero totale delle stazioni presenti nel file
75
! Tabella analizzatori (codici di corrispondenza tra stazioni <--> inquinanti)
! analizzatore non presente ---> -1
! Il campo "attiva" seleziona le stazioni operative (0 non esistente , 1 operativa)
CodiceProvincia      NomeStazione      CodiceStazione   attiva   NO2   NOX   NO   PM10   PM2.5   O3   CO   BENZENE   SO2   PIOGGIA   RADG   VV   DV   TEMP   UMR   RADN   PRESS   EBENZENE   TOLUENE   M-XYLENE   O-XYLENE   P-XYLENE   MP-XYLENE 
     02              FrosinoneScalo          62            1      01    01   01    01      01    01   01      02      01      -1      -1    -1   -1    -1     -1    -1      -1       02        02        01          02         01          01
     02              ViaMazzini              71            1      01    01   01    01      01    01   01      01      01      -1      -1    -1   -1    -1     -1    -1      -1       01        01        01          01         01          01
     05              CivitaCastellana        30            0      01    01   01    01      01    01   01      01      01      -1      -1    -1   -1    -1     -1    -1      -1       01        01        01          01         01          01
     05              CivitaCastPetra         90            1      01    01   01    01      01    01   01      01      01      -1      -1    -1   -1    -1     -1    -1      -1       01        01        01          01         01          01
     05              VT-Meteo                31            0      -1    -1   -1    -1      -1    -1   -1      -1      -1      01      01    01   01    01     01    01      01       -1        -1        -1          -1         -1          -1
     05              Viterbo                 32            1      01    01   01    01      01    01   01      02      01      -1      -1    -1   -1    -1     -1    -1      -1       02        02        01          02         01          01
     05              Acquapendente           59            1      01    01   01    01      01    01   01      01      01      -1      -1    -1   -1    -1     -1    -1      -1       01        01        01          01         01          01
     02              MezzoMobile1            70            1      01    01   01    01      01    01   01      01      01      01      01    01   01    01     01    01      01       02        01        01          01         01          01
     02              MezzoMobile2            72            1      01    01   01    01      01    01   01      01      01      01      01    01   01    02     02    01      01       02        01        01          01         01          01
     08              Aurelia                101            1      01    01   01    02      01    01   01      01      01      -1      -1    -1   -1    -1     -1    -1      -1       -1        -1        -1          -1         -1          -1
     08              S-Agostino             102            1      01    01   01    02      01    02   01      01      01      -1      -1    -1   -1    -1     -1    -1      -1       -1        -1        -1          -1         -1          -1
     08              Fiumaretta             103            1      01    01   01    02      02    01   01      01      01      -1      -1    -1   -1    -1     -1    -1      -1       -1        -1        -1          -1         -1          -1
     08              Faro                   104            1      01    01   01    01      01    01   01      01      01      -1      -1    -1   -1    -1     -1    -1      -1       -1        -1        -1          -1         -1          -1
     08              CampoOro               105            1      01    01   01    01      01    01   01      01      01      -1      -1    -1   -1    -1     -1    -1      -1       -1        -1        -1          -1         -1          -1
     08              S-Gordiano             106            1      01    01   01    02      01    01   01      01      01      -1      -1    -1   -1    -1     -1    -1      -1       -1        -1        -1          -1         -1          -1
     08              Allumiere2             107            1      01    01   01    01      01    01   01      01      01      -1      -1    -1   -1    -1     -1    -1      -1       -1        -1        -1          -1         -1          -1
     08              Tolfa                  108            1      01    01   01    02      01    01   01      01      01      -1      -1    -1   -1    -1     -1    -1      -1       -1        -1        -1          -1         -1          -1
     08              S-Marinella            109            1      01    01   01    01      01    01   01      01      01      -1      -1    -1   -1    -1     -1    -1      -1       -1        -1        -1          -1         -1          -1
     08              Tarquinia              110            1      01    01   01    01      01    01   01      01      01      -1      -1    -1   -1    -1     -1    -1      -1       -1        -1        -1          -1         -1          -1
     08              M-Romano               111            1      01    01   01    02      01    01   01      01      01      -1      -1    -1   -1    -1     -1    -1      -1       -1        -1        -1          -1         -1          -1
